timestamp_ms,pressure,ax,ay,az,gx,gy,gz,label
1764138828421,446,-0.111000,-0.022000,1.043000,126,127,127,rest_head
1764138828442,443,-0.112000,-0.022000,1.042000,126,127,126,rest_head
1764138828463,438,-0.111000,-0.024000,1.041000,126,127,126,rest_head
1764138828484,435,-0.111000,-0.024000,1.040000,126,127,126,rest_head
1764138828503,430,-0.111000,-0.022000,1.041000,126,127,126,rest_head
1764138828524,423,-0.109000,-0.020000,1.041000,126,127,127,rest_head
1764138828544,424,-0.108000,-0.019000,1.041000,126,127,126,rest_head
1764138828564,433,-0.107000,-0.020000,1.042000,126,127,126,rest_head
1764138828584,452,-0.108000,-0.021000,1.041000,126,127,126,rest_head
1764138828605,473,-0.109000,-0.023000,1.042000,126,127,126,rest_head
1764138828626,470,-0.050000,-0.041000,1.051000,126,127,127,rest_head
1764138828647,451,-0.104000,-0.032000,1.044000,126,127,127,rest_head
1764138828668,440,-0.107000,-0.032000,1.041000,126,127,127,rest_head
1764138828688,446,-0.107000,-0.031000,1.041000,126,127,127,rest_head
1764138828708,444,-0.107000,-0.030000,1.041000,126,127,127,rest_head
1764138828729,470,-0.166000,-0.011000,1.033000,126,127,127,rest_head
1764138828749,460,-0.111000,-0.020000,1.040000,127,127,126,rest_head
1764138828770,454,-0.109000,-0.019000,1.042000,126,127,127,rest_head
1764138828791,452,-0.108000,-0.020000,1.044000,126,127,127,rest_head
1764138828812,440,-0.109000,-0.021000,1.043000,126,127,126,rest_head
1764138828832,428,-0.110000,-0.023000,1.043000,126,127,126,rest_head
1764138828854,426,-0.111000,-0.023000,1.044000,126,127,126,rest_head
1764138828875,426,-0.110000,-0.022000,1.043000,126,127,126,rest_head
1764138828896,423,-0.108000,-0.022000,1.042000,126,127,126,rest_head
1764138828916,418,-0.107000,-0.020000,1.043000,126,127,126,rest_head
1764138828937,409,-0.107000,-0.020000,1.043000,126,127,126,rest_head
1764138828956,404,-0.106000,-0.019000,1.042000,126,127,126,rest_head
1764138828976,404,-0.106000,-0.019000,1.043000,126,127,126,rest_head
1764138828996,416,-0.108000,-0.020000,1.043000,126,127,126,rest_head
